Entity,Code,Year,number_new_cs_phds_by_specialty
Networks,,2013,116
Networks,,2014,143
Networks,,2015,78
Networks,,2016,86
Networks,,2017,90
Networks,,2018,94
Networks,,2019,68
Networks,,2020,80
Operating systems,,2010,55
Operating systems,,2011,52
Operating systems,,2012,65
Operating systems,,2013,52
Operating systems,,2014,60
Operating systems,,2015,40
Operating systems,,2016,50
Operating systems,,2017,44
Operating systems,,2018,50
Operating systems,,2019,52
Operating systems,,2020,57
Other,,2010,71
Other,,2011,59
Other,,2012,106
Other,,2013,95
Other,,2014,87
Other,,2015,96
Other,,2016,111
Other,,2017,70
Other,,2018,66
Other,,2019,66
Other,,2020,76
Programming languages/compilers,,2010,61
Programming languages/compilers,,2011,42
Programming languages/compilers,,2012,60
Programming languages/compilers,,2013,50
Programming languages/compilers,,2014,63
Programming languages/compilers,,2015,68
Programming languages/compilers,,2016,61
Programming languages/compilers,,2017,45
Programming languages/compilers,,2018,43
Programming languages/compilers,,2019,30
Programming languages/compilers,,2020,45
Robotics/vision,,2010,55
Robotics/vision,,2011,46
Robotics/vision,,2012,68
Robotics/vision,,2013,65
Robotics/vision,,2014,74
Robotics/vision,,2015,76
Robotics/vision,,2016,72
Robotics/vision,,2017,75
Robotics/vision,,2018,66
Robotics/vision,,2019,91
Robotics/vision,,2020,83
Scientific/numerical computing,,2010,27
Scientific/numerical computing,,2011,21
Scientific/numerical computing,,2012,23
Scientific/numerical computing,,2013,25
Scientific/numerical computing,,2014,13
Scientific/numerical computing,,2015,21
Scientific/numerical computing,,2016,19
Scientific/numerical computing,,2017,10
Scientific/numerical computing,,2018,17
Scientific/numerical computing,,2019,15
Scientific/numerical computing,,2020,7
Security/information assurance,,2010,57
Security/information assurance,,2011,72
Security/information assurance,,2012,54
Security/information assurance,,2013,59
Security/information assurance,,2014,73
Security/information assurance,,2015,63
Security/information assurance,,2016,92
Security/information assurance,,2017,101
Security/information assurance,,2018,98
Security/information assurance,,2019,85
Security/information assurance,,2020,93
Social computing/social informatics/CSCW,,2010,24
Social computing/social informatics/CSCW,,2011,21
Social computing/social informatics/CSCW,,2012,18
Social computing/social informatics/CSCW,,2013,28
Social computing/social informatics/CSCW,,2014,22
Social computing/social informatics/CSCW,,2015,43
Social computing/social informatics/CSCW,,2016,13
Social computing/social informatics/CSCW,,2017,14
Social computing/social informatics/CSCW,,2018,18
Social computing/social informatics/CSCW,,2019,27
Social computing/social informatics/CSCW,,2020,26
Software engineering,,2010,96
Software engineering,,2011,113
Software engineering,,2012,117
Software engineering,,2013,103
Software engineering,,2014,123
Software engineering,,2015,138
Software engineering,,2016,111
Software engineering,,2017,102
Software engineering,,2018,90
Software engineering,,2019,61
Software engineering,,2020,96
Theory and algorithms,,2010,86
Theory and algorithms,,2011,102
Theory and algorithms,,2012,104
Theory and algorithms,,2013,87
Theory and algorithms,,2014,78
Theory and algorithms,,2015,72
Theory and algorithms,,2016,84
Theory and algorithms,,2017,76
Theory and algorithms,,2018,78
Theory and algorithms,,2019,100
Theory and algorithms,,2020,92
Total,,2010,1133
Total,,2011,1158
Total,,2012,1343
Total,,2013,1226
Total,,2014,1321
Total,,2015,1256
Total,,2016,1324
Total,,2017,1245
Total,,2018,1251
Total,,2019,1253
Total,,2020,1315
