m,Domain,Task,Organization(s),Organization Categorization,Author(s),Publication date,Year,Reference,Link,Citations,Inclusion criteria,Inclusion criteria met,Parameters,Training compute (FLOPs),Training dataset,Training dataset size (datapoints),Hidden layers,Inference compute (FLOPs),Training time (hours),Equivalent training time (hours),Inference time (ms),Training dataset size (GB),Approach,Dense or sparse model,Training objective,Training compute cost (2020 USD),Self-supervised training,Architecture,Compute Sponsor Categorization,Abstract
BLOOM,Language,Language model,"Hugging Face, BigScience",Research Collective,"Margaret Mitchell, Giada Pistilli, Yacine Jernite, Ezinwanne Ozoani, Marissa Gerchick, Nazneen Rajani, Sasha Luccioni, Irene Solaiman, Maraim Masoud, Somaieh Nikpoor, Carlos Muñoz Ferrandis, Stas Bekman, Christopher Akiki, Danish Contractor, David Lansky, Angelina McMillan-Major, Tristan Thrush, Suzana Ilić, Gérard Dupont, Shayne Longpre, Manan Dey, Stella Biderman, Douwe Kiela, Emi Baylor, Teven Le Scao, Aaron Gokaslan, Julien Launay, Niklas Muennighoff",11/8/2022,2022,,https://huggingface.co/bigscience/bloom,,,No,1.76E+11,1.80E+23,"""TB scale multilingual dataset""",,,,,,,,,,,,Yes,,,
GPT-NeoX-20B,Language,,EleutherAI,Research Collective,"Sid Black, Stella Biderman, Eric Hallahan, Quentin Anthony, Leo Gao, Laurence Golding, Horace He, Connor Leahy, Kyle McDonell, Jason Phang, Michael Pieler, USVSN Sai Prashanth, Shivanshu Purohit, Laria Reynolds, Jonathan Tow, Ben Wang, Samuel Weinbach",09/02/2022,2022,Announcing GPT- NeoX- 20B,https://blog.eleuther.ai/announcing-20b/,4.50E+01,Historical significance,Yes,2.00E+10,9.32E+22,The Pile,1.77E+11,,,,,,,,,,202407.46,Yes,,Industry,
Stable Diffusion (LDM-KL-8-G),Drawing,Text-to-image,"Stability AI, Runway",Industry,"Robin Rombach, Andreas Blattmann, Dominik Lorenz, Patrick Esser, Björn Ommer",13/04/2022,2022,High-Resolution Image Synthesis with Latent Diffusion Models,https://arxiv.org/abs/2112.10752,,Significant use,Yes,1.45E+09,5.00E+22,LAION-400M,4.00E+08,,,,,,,,,,,Yes,,,"By decomposing the image formation process into a sequential application of denoising autoencoders, diffusion models (DMs) achieve state-of-the-art synthesis results on image data and beyond. Additionally, their formulation allows for a guiding mechanism to control the image generation process without retraining. However, since these models typically operate directly in pixel space, optimization of powerful DMs often consumes hundreds of GPU days and inference is expensive due to sequential evaluations. To enable DM training on limited computational resources while retaining their quality and flexibility, we apply them in the latent space of powerful pretrained autoencoders. In contrast to previous work, training diffusion models on such a representation allows for the first time to reach a near-optimal point between complexity reduction and detail preservation, greatly boosting visual fidelity. By introducing cross-attention layers into the model architecture, we turn diffusion models into powerful and flexible generators for general conditioning inputs such as text or bounding boxes and high-resolution synthesis becomes possible in a convolutional manner. Our latent diffusion models (LDMs) achieve a new state of the art for image inpainting and highly competitive performance on various tasks, including unconditional image generation, semantic scene synthesis, and super-resolution, while significantly reducing computational requirements compared to pixel-based DMs. Code is available at this https URL ."
Whisper,Speech,Audio Speech Recognition,OpenAI,Industry,"Alec Radford, Jong Wook Kim, Tao Xu, Greg Brockman, Christine McLeavey, Ilya Sutskever",21/09/2022,2022,Robust Speech Recognition via Large-Scale Weak Supervision,https://cdn.openai.com/papers/whisper.pdf,,SOTA Improvement,Yes,1.55E+09,4.65E+22,,5.58E+11,,,,,,,,,,,Yes,,,"We study the capabilities of speech processing systems trained simply to predict large amounts of transcripts of audio on the internet. When scaled to 680,000 hours of multilingual and multitask supervision, the resulting models generalize well to standard benchmarks and are often competitive with prior fully supervised results but in a zeroshot transfer setting without the need for any finetuning. When compared to humans, the models approach their accuracy and robustness. We are releasing models and inference code to serve as a foundation for further work on robust speech processing."
GLM-130B,Language,,Tsinghua KEG,Academia,,04/08/2022,2022,GLM-130B: An open bilingual pre-trained model,https://keg.cs.tsinghua.edu.cn/glm-130b/posts/glm-130b/,,,No,1.30E+11,4.60E+22,,,,,,,,,,,,,,,Industry,
AlphaCode,Language,Code generation,DeepMind,Industry,The Alpha Code team,02/02/2022,2022,Competition-Level Code Generation with AlphaCode,https://deepmind.com/blog/article/Competitive-programming-with-AlphaCode,7.50E+01,SOTA improvement,Yes,,4.05E+22,,,,,,,,,,,,,Yes,,Industry,
NLLB,Language,Translation,Meta AI,Industry,"Marta R. Costa-jussà, James Cross, Onur Çelebi, Maha Elbayad, Kenneth Heafield, Kevin Heffernan, Elahe Kalbassi, Janice Lam, Daniel Licht, Jean Maillard, Anna Sun, Skyler Wang, Guillaume Wenzek, Al Youngblood, Bapi Akula, Loic Barrault, Gabriel Mejia Gonzalez, Prangthip Hansanti, John Hoffman, Semarley Jarrett, Kaushik Ram Sadagopan, Dirk Rowe, Shannon Spruit, Chau Tran, Pierre Andrews, Necip Fazil Ayan, Shruti Bhosale, Sergey Edunov, Angela Fan, Cynthia Gao, Vedanuj Goswami, Francisco (Paco) Guzmán, Philipp Koehn, Alexandre Mourachko, Christophe Ropers, Safiyyah Saleem, Holger Schwenk, Jeff Wang",06/07/2022,2022,No Language Left Behind: Scaling Human-Centered Machine Translation,https://research.facebook.com/publications/no-language-left-behind/?utm_source=twitter&utm_medium=organic_social&utm_campaign=nllb&utm_content=os-artifacts,1.90E+01,SOTA Improvement,Yes,5.45E+10,1.75E+22,,3.60E+11,,,,,,,,,,39175.64,Yes,,Industry,"Driven by the goal of eradicating language barriers on a global scale, machine translation has solidified itself as a key focus of artificial intelligence research today. However, such efforts have coalesced around a small subset of languages, leaving behind the vast majority of mostly low-resource languages. What does it take to break the 200 language barrier while ensuring safe, high quality results, all while keeping ethical considerations in mind? In No Language Left Behind, we took on this challenge by first contextualizing the need for low-resource language translation support through exploratory interviews with native speakers. Then, we created datasets and models aimed at narrowing the performance gap between low and high-resource languages. More specifically, we developed a conditional compute model based on Sparsely Gated Mixture of Experts that is trained on data obtained with novel and effective data mining techniques tailored for low-resource languages. We propose multiple architectural and training improvements to counteract overfitting while training on thousands of tasks. Critically, we evaluated the performance of over 40,000 different translation directions using a human-translated benchmark, Flores-200, and combined human evaluation with a novel toxicity benchmark covering all languages in Flores-200 to assess translation safety. Our model achieves an improvement of 44% BLEU relative to the previous state-of-the-art, laying important groundwork towards realizing a universal translation system. Finally, we open source all contributions described in this work, accessible at https://github.com/facebookresearch/fairseq/tree/nllb."
Primer,Language,,"Google Research, Brain Team",Industry,"DavidR.So, WojciechMan ́ke, HanxiaoLiu, ZihangDai, NoamShazeer, QuocV.Le",24/01/2022,2022,Primer: Searching for Efficient Transformers for Language Modeling,https://arxiv.org/abs/2109.08668,3.90E+01,,No,1.90E+09,7.10E+21,C4,1.73E+11,,,,,,,,,,9690.72,,,Industry,"Large Transformer models have been central to recent advances in natural language processing. The training and inference costs of these models, however, have grown rapidly and become prohibitively expensive. Here we aim to reduce the costs of Transformers by searching for a more efficient variant. Compared to previous approaches, our search is performed at a lower level, over the primitives that define a Transformer TensorFlow program. We identify an architecture, named Primer, that has a smaller training cost than the original Transformer and other variants for auto-regressive language modeling. Primer's improvements can be mostly attributed to two simple modifications: squaring ReLU activations and adding a depthwise convolution layer after each Q, K, and V projection in self-attention. Experiments show Primer's gains over Transformer increase as compute scale grows and follow a power law with respect to quality at optimal model sizes. We also verify empirically that Primer can be dropped into different codebases to significantly speed up training without additional tuning. For example, at a 500M parameter size, Primer improves the original T5 architecture on C4 auto-regressive language modeling, reducing the training cost by 4X. Furthermore, the reduced training cost means Primer needs much less compute to reach a target one-shot performance. For instance, in a 1.9B parameter configuration similar to GPT-3 XL, Primer uses 1/3 of the training compute to achieve the same one-shot performance as Transformer. We open source our models and several comparisons in T5 to help with reproducibility."
Gato,Multimodal,,DeepMind,Industry,"Scott Reed, Konrad Żołna, Emilio Parisotto, Sergio Gómez Colmenarejo, Alexander Novikov, Gabriel Barth-Maron, Mai Giménez, Yury Sulsky, Jackie Kay, Jost Tobias Springenberg, Tom Eccles, Jake Bruce, Ali Razavi, Ashley Edwards, Nicolas Heess, Yutian Chen, Raia Hadsell, Oriol Vinyals, Mahyar Bordbar, Nando de Freitas",12/05/2022,2022,A Generalist Agent,https://www.deepmind.com/publications/a-generalist-agent,,Historical significance,Yes,1.18E+09,5.44E+21,,,,,,,,,,,,6781.08,,,Industry,"Inspired by progress in large-scale language modeling, we apply a similar approach towards building a single generalist agent beyond the realm of text outputs. The agent, which we refer to as Gato, works as a multi-modal, multi-task, multi-embodiment generalist policy. The same network with the same weights can play Atari, caption images, chat, stack blocks with a real robot arm and much more, deciding based on its context whether to output text, joint torques, button presses, or other tokens. In this report we describe the model and the data, and document the current capabilities of Gato."
GPT-SW3,Language,Language modelling,"AI Sweden, RISE",Academia,"Ariel Ekgren, Amaru Cuba Gyllensten, Evangelia Gogoulou, Alice Heiman, Severine Verlinden, Joey Ohman, Fredrik Carlsson, Magnus Sahlgren",25/06/2022,2022,,http://www.lrec-conf.org/proceedings/lrec2022/pdf/2022.lrec-1.376.pdf,,,No,3.50E+09,1.30E+21,,,,,,,,,,,,,Yes,,,"Large-scale generative language models such as the GPT series (Radford and Narasimhan, 2018; Radford et al., 2019; Brown et al., 2020) have enjoyed considerable attention in recent years. This has been partly due to their unprecedented ability to generate coherent text, but also for their capacity for zero-shot performance - without any training examples, on a wide range of different tasks. A prerequisite for building such models is access to both large amounts of high-quality text data and powerful computational resources. This has proven to be a limiting factor for the development of large-scale models for languages other than English. With the goal of promoting the development of largescale generative models for other languages, we here present our work on developing and evaluating GPTSW3, a 3.5 billion parameter autoregressive language model, trained on a newly collected 100 GB Swedish corpus. To the best of our knowledge, this is the largest generative model for Swedish to date, and probably one of the bigger non-English models at the moment. In this paper, we collect the lessons learned by developing and evaluating this model, including challenges with data collection, training procedures, and validation activities."
Sparse all-MLP,Language,,MetaAI,Industry - Academia Collaboration (Industry leaning),"Ping Yu, Mikel Artexte, Myle Ott, Sam  Shleifer, Hongyu Gong, Ves Stoyanov",14/04/2022,2022,Efficient Language Modeling with Sparse all-MLP,https://arxiv.org/abs/2203.06850,0.00E+00,SOTA Improvement,Yes,3.50E+09,2.17E+19,RoBERTa dataset,,,,,20.41,,,,,,80.29,Yes,,Industry,"All-MLP architectures have attracted increasing interest as an alternative to attention-based models. In NLP, recent work like gMLP shows that all-MLPs can match Transformers in language modeling, but still lag behind in downstream tasks. In this work, we analyze the limitations of MLPs in expressiveness, and propose sparsely activated MLPs with mixture-of-experts (MoEs) in both feature and input (token) dimensions. Such sparse all-MLPs significantly increase model capacity and expressiveness while keeping the compute constant. We address critical challenges in incorporating conditional computation with two routing strategies. The proposed sparse all-MLP improves language modeling perplexity and obtains up to 2× improvement in training efficiency compared to both Transformer-based MoEs (GShard, Switch Transformer, Base Layers and HASH Layers) as well as dense Transformers and all-MLPs. Finally, we evaluate its zero-shot in-context learning performance on six downstream tasks, and find that it surpasses Transformer-based MoEs and dense Transformers."
LiMoE,Multimodal,Image classification,Google,Industry,"Basil Mustafa, Carlos Riquelme, Joan Puigcerver, Rodolphe Jenatton, Neil Houlsby",06/06/2022,2022,Multimodal Contrastive Learning with LIMoE: the Language-Image Mixture of Experts,https://arxiv.org/abs/2206.02770,15,,No,5.60E+09,2.00E+11,,,,,,,,,,,,,,,Industry,
data2vec (vision),Vision,,MetaAI,Industry,"Alexei Baevski,  Wei-Ning Hsu,  Qiantong Xu , Arun Babu,  Jiatao Gu,  Michael Auli",20/01/2022,2022,"Data2vec: A General Framework for Self-supervised Learning in Speech, Vision and Language",https://ai.facebook.com/research/data2vec-a-general-framework-for-self-supervised-learning-in-speech-vision-and-language/,1.80E+02,SOTA Improvement,Yes,7.05E+08,,ImageNet,1.28E+06,,,,,,,,,,,Yes,,Industry,
data2vec (speech),Speech,,MetaAI,Industry,"Alexei Baevski,  Wei-Ning Hsu,  Qiantong Xu , Arun Babu,  Jiatao Gu,  Michael Auli",20/01/2022,2022,"Data2vec: A General Framework for Self-supervised Learning in Speech, Vision and Language",https://ai.facebook.com/research/data2vec-a-general-framework-for-self-supervised-learning-in-speech-vision-and-language/,1.80E+02,SOTA Improvement,Yes,7.05E+08,,LS-960,7.88E+08,,,,,,,,,,,Yes,,Industry,
data2vec (language),Language,,MetaAI,Industry,"Alexei Baevski,  Wei-Ning Hsu,  Qiantong Xu , Arun Babu,  Jiatao Gu,  Michael Auli",20/01/2022,2022,"Data2vec: A General Framework for Self-supervised Learning in Speech, Vision and Language",https://ai.facebook.com/research/data2vec-a-general-framework-for-self-supervised-learning-in-speech-vision-and-language/,1.80E+02,SOTA Improvement,Yes,7.05E+08,,"Books Corpus, English Wikipedia",3.30E+09,,,,,,,,,,,Yes,,Industry,
InstructGPT,Language,,OpenAI,Industry,"Long Ouyang, Pamela Mishkin, Jeff Wu, Xu Jiang, Diogo Almeida, Carroll L. Wainwright,John Schulman Amanda Askell, Fraser Kelton Peter Welinder, Luke Miller Maddie Simens Paul Christiano,Ryan Lowe,Chong Zhang Jacob Hilton, Sandhini Agarwal Katarina Slama Alex Ray, Jan Leike",27/01/2022,2022,Training language models to follow instructions with human feedback,https://cdn.openai.com/papers/Training_language_models_to_follow_instructions_with_human_feedback.pdf,1.49E+02,Historical significance,Yes,,,,3.32E+04,,,,,,,,,,,Yes,,Industry,
RETRO-7B,Language,,DeepMind,Industry,"Sebastian Borgeaud†, Arthur Mensch†, Jordan Hoffmann†, Trevor Cai, Eliza Rutherford, Katie Millican, George van den Driessche, Jean-Baptiste Lespiau, Bogdan Damoc, Aidan Clark, Diego de Las Casas, Aurelia Guy, Jacob Menick, Roman Ring, Tom Hennigan, Saffron Huang, Loren Maggiore, Chris Jones, Albin Cassirer, Andy Brock, Michela Paganini, Geoffrey Irving, Oriol Vinyals, Simon Osindero,Karen Simonyan, Jack W. Rae‡, Erich Elsen‡ and Laurent Sifre",07/02/2022,2022,Improving language models by retrieving from trillions of tokens,https://arxiv.org/abs/2112.04426,5.90E+01,,No,7.50E+09,,,1.50E+12,,,,,,,,,,,Yes,Retrieval Transformer,Industry,
MuZero VP9,Other,Video compression,DeepMind,Industry,"Amol Mandhane, Anton Zhernov, Maribeth Rauh, Chenjie Gu, Miaosen Wang, Flora Xue, Wendy Shang, Derek Pang, Rene Claus, Ching-Han Chiang, Cheng Chen, Jingning Han, Angie Chen, Daniel J. Mankowitz, Jackson Broshear, Julian Schrittwieser, Thomas Hubert, Oriol Vinyals, Timothy Mann",14/02/2022,2022,MuZero with Self-competition for Rate Control in VP9 Video Compression,https://arxiv.org/abs/2202.06626,,,No,,,,,,,,,,,,,,,,,,
DeepNet,Language,Language modelling,Microsoft Research,Industry,"Hongyu Wang, Shuming Ma, Li Dong, Shaohan Huang, Dongdong Zhang, Furu Wei",01/03/2022,2022,"DeepNet: Scaling Transformers to 1,000 Layers",https://arxiv.org/abs/2203.00555,,,No,3.20E+09,,,1.20E+10,,,,,,,,,,,,,Industry,
